variavel;total;nao.nulo;conformes;acurados
TIPOBITO;235022;235022;235022;235022
TP_ANALISE;235022;0;0;0
TPASSINA;235022;0;0;0
TPCAUSAPAR;235022;4;4;4
TPMORTEOCO;235022;7994;7994;7520
TPNIVELINV;235022;5413;5413;5413
TPOBITOCOR;235022;9487;9487;9487
TPOBITOINF;235022;0;0;0
TPPOS;235022;57400;57400;57400
TPRESGINFO;235022;241;241;241
UFINFORM;235022;82198;82198;82198
VALOR;235022;0;0;0
VERSAOSCB;235022;217990;217990;217990
VERSAOSIST;235022;231107;198802;198802
VERSCBPRE;235022;36303;36303;36303
VRSRESSELE;235022;81625;81625;81625
