FILENAME;QNT_LINHAS;QNT_COLUNAS;colunas;ano
SINASC/DNSP2004.parquet;618080;25;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, UFINFORM;2004
SINASC/DNSP2012.parquet;616608;55;ORIGEM, CODCART, NUMREGCART, DTREGCART, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, CODPAISRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, RACACORN, RACACORMAE, PESO, IDANOMAL, CODANOMAL, DTCADASTRO, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, NATURALMAE, CODMUNNATU, ESCMAE2010, SERIESCMAE, DTNASCMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPROBSON, STDNEPIDEM, STDNNOVA;2012
SINASC/DNSP2017.parquet;611803;60;ORIGEM, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIGA, NATURALMAE, CODMUNNATU, CODUFNATU, ESCMAE2010, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPNASCASSI, TPFUNCRESP, TPDOCRESP, DTDECLARAC, ESCMAEAGR1, STDNEPIDEM, STDNNOVA, CODPAISRES, TPROBSON, PARIDADE, KOTELCHUCK;2017
SINASC/DNSP2013.parquet;610896;58;ORIGEM, CODCART, CODMUNCART, NUMREGCART, DTREGCART, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, CODPAISRES, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACORN, RACACORMAE, RACACOR, PESO, IDANOMAL, CODANOMAL, DTCADASTRO, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DTRECORIG, DIFDATA, NATURALMAE, CODMUNNATU, CODUFNATU, DTNASCMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPNASCASSI, STDNEPIDEM, STDNNOVA, SERIESCMAE, ESCMAEAGR1, SEMAGESTAC, GESTACAO, TPMETESTIM, ESCMAE2010;2013
SINASC/DNSP2003.parquet;610555;25;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, UFINFORM;2003
SINASC/DNSP2011.parquet;610222;55;ORIGEM, CODCART, NUMREGCART, DTREGCART, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, CODPAISRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIG, NATURALMAE, CODMUNNATU, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPROBSON, STDNEPIDEM, STDNNOVA, RACACOR_RN;2011
SINASC/DNSP2018.parquet;606146;60;ORIGEM, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIGA, NATURALMAE, CODMUNNATU, CODUFNATU, ESCMAE2010, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPNASCASSI, TPFUNCRESP, TPDOCRESP, DTDECLARAC, ESCMAEAGR1, STDNEPIDEM, STDNNOVA, CODPAISRES, TPROBSON, PARIDADE, KOTELCHUCK;2018
SINASC/DNSP2006.parquet;603368;28;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, DTCADASTRO, DTRECEBIM, UFINFORM;2006
SINASC/DNSP2008.parquet;601795;28;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, DTCADASTRO, DTRECEBIM, UFINFORM;2008
SINASC/DNSP2016.parquet;601437;60;ORIGEM, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIGA, NATURALMAE, CODMUNNATU, CODUFNATU, ESCMAE2010, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPNASCASSI, TPFUNCRESP, TPDOCRESP, DTDECLARAC, ESCMAEAGR1, STDNEPIDEM, STDNNOVA, CODPAISRES, TPROBSON, PARIDADE, KOTELCHUCK;2016
SINASC/DNSP2010.parquet;601352;54;ORIGEM, CODCART, NUMREGCART, DTREGCART, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, CODPAISRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIG, NATURALMAE, CODMUNNATU, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPROBSON, STDNEPIDEM, STDNNOVA;2010
SINASC/DNSP2009.parquet;598473;28;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, DTCADASTRO, DTRECEBIM, UFINFORM;2009
SINASC/DNSP2007.parquet;595408;28;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, DTCADASTRO, DTRECEBIM, UFINFORM;2007
SINASC/DNMG1999.parquet;307751;20;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL;1999
SINASC/DNMG2000.parquet;300958;19;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL;2000
SINASC/DNMG2001.parquet;298538;22;LOCNASC, CODESTAB, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL;2001
SINASC/DNMG1998.parquet;295364;20;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL;1998
SINASC/DNMG2003.parquet;284904;25;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, UFINFORM;2003
SINASC/DNMG2002.parquet;284558;25;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, UFINFORM;2002
SINASC/DNMG2004.parquet;277691;25;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, UFINFORM;2004
SINASC/DNMG2005.parquet;277468;25;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, UFINFORM;2005
SINASC/DNRJ1997.parquet;268968;22;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, ENDRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CONFPESO, CODANOMAL;1997
SINASC/DNRJ1996.parquet;268549;20;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL;1996
SINASC/DNMG2015.parquet;268305;60;ORIGEM, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIGA, NATURALMAE, CODMUNNATU, CODUFNATU, ESCMAE2010, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPNASCASSI, TPFUNCRESP, TPDOCRESP, DTDECLARAC, ESCMAEAGR1, STDNEPIDEM, STDNNOVA, CODPAISRES, TPROBSON, PARIDADE, KOTELCHUCK;2015
SINASC/DNRJ1999.parquet;268213;20;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL, IDANOMAL;1999
SINASC/DNMG2014.parquet;267130;60;ORIGEM, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIGA, NATURALMAE, CODMUNNATU, CODUFNATU, ESCMAE2010, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPNASCASSI, TPFUNCRESP, TPDOCRESP, DTDECLARAC, ESCMAEAGR1, STDNEPIDEM, STDNNOVA, CODPAISRES, TPROBSON, PARIDADE, KOTELCHUCK;2014
SINASC/DNMG2006.parquet;266143;28;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, DTCADASTRO, DTRECEBIM, UFINFORM;2006
SINASC/DNMG2018.parquet;263640;60;ORIGEM, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIGA, NATURALMAE, CODMUNNATU, CODUFNATU, ESCMAE2010, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPNASCASSI, TPFUNCRESP, TPDOCRESP, DTDECLARAC, ESCMAEAGR1, STDNEPIDEM, STDNNOVA, CODPAISRES, TPROBSON, PARIDADE, KOTELCHUCK;2018
SINASC/DNMG2017.parquet;260959;60;ORIGEM, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIGA, NATURALMAE, CODMUNNATU, CODUFNATU, ESCMAE2010, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPNASCASSI, TPFUNCRESP, TPDOCRESP, DTDECLARAC, ESCMAEAGR1, STDNEPIDEM, STDNNOVA, CODPAISRES, TPROBSON, PARIDADE, KOTELCHUCK;2017
SINASC/DNMG2008.parquet;260916;28;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, DTCADASTRO, DTRECEBIM, UFINFORM;2008
SINASC/DNMG2012.parquet;260544;55;ORIGEM, CODCART, NUMREGCART, DTREGCART, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, CODPAISRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, RACACORN, RACACORMAE, PESO, IDANOMAL, CODANOMAL, DTCADASTRO, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, NATURALMAE, CODMUNNATU, ESCMAE2010, SERIESCMAE, DTNASCMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPROBSON, STDNEPIDEM, STDNNOVA;2012
SINASC/DNMG2011.parquet;259863;55;ORIGEM, CODCART, NUMREGCART, DTREGCART, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, CODPAISRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, DTCADASTRO, CODANOMAL, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DIFDATA, DTRECORIG, NATURALMAE, CODMUNNATU, SERIESCMAE, DTNASCMAE, RACACORMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, SEMAGESTAC, TPMETESTIM, CONSPRENAT, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPROBSON, STDNEPIDEM, STDNNOVA, RACACOR_RN;2011
SINASC/DNMG2007.parquet;259505;28;LOCNASC, CODESTAB, CODBAINASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODBAIRES, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, IDANOMAL, CODANOMAL, DTCADASTRO, DTRECEBIM, UFINFORM;2007
SINASC/DNRJ2000.parquet;259118;19;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL;2000
SINASC/DNMG2013.parquet;258635;58;ORIGEM, CODCART, CODMUNCART, NUMREGCART, DTREGCART, CODESTAB, CODMUNNASC, LOCNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, CODPAISRES, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, HORANASC, SEXO, APGAR1, APGAR5, RACACORN, RACACORMAE, RACACOR, PESO, IDANOMAL, CODANOMAL, DTCADASTRO, NUMEROLOTE, VERSAOSIST, DTRECEBIM, DTRECORIG, DIFDATA, NATURALMAE, CODMUNNATU, CODUFNATU, DTNASCMAE, QTDGESTANT, QTDPARTNOR, QTDPARTCES, IDADEPAI, DTULTMENST, MESPRENAT, TPAPRESENT, STTRABPART, STCESPARTO, TPNASCASSI, STDNEPIDEM, STDNNOVA, SERIESCMAE, ESCMAEAGR1, SEMAGESTAC, GESTACAO, TPMETESTIM, ESCMAE2010;2013
SINASC/DNRJ1998.parquet;258284;20;LOCNASC, CODMUNNASC, IDADEMAE, ESTCIVMAE, ESCMAE, CODOCUPMAE, QTDFILVIVO, QTDFILMORT, CODMUNRES, GESTACAO, GRAVIDEZ, PARTO, CONSULTAS, DTNASC, SEXO, APGAR1, APGAR5, RACACOR, PESO, CODANOMAL;1998
