variavel;total;nao.nulo;conformes;acurados
DS_CARATER;16965217;16965217;16965217;16965217
DS_DESCRICAO;16965217;16965217;16965217;16965217
DS_PACIENTE_LOGR;16965217;0;0;0
DS_PACIENTE_LOGR_BAIRRO;16965217;16965210;16965210;12400795
DS_PACIENTE_LOGR_COMPL;16965217;0;0;0
DT_CMPT;16965217;16965217;16965217;16965217
DT_EMISSAO;16965217;16965217;16965217;16912660
DT_INTERNACAO;16965217;16965217;16965217;16965217
DT_LOTE_APRES;16965217;16965217;16965217;16816456
DT_PACIENTE_NASCIMENTO;16965217;16965217;16965217;16965217
DT_SAIDA;16965217;16965217;16965217;16912001
ID_PACIENTE;16965217;15393145;15393145;15393145
LINHA;16965217;16965217;16965217;16965217
NO_ARQ_REMESSA;16965217;16965217;16965217;16965217
NO_CBO_EXECUTANTE;16965217;16965217;16965217;16965217
NO_CID_OBITO;16965217;682906;682906;682906
NO_CID_PRINCIPAL;16965217;16965217;16965217;16965217
NO_CID_SECUNDARIO;16965217;1182784;1182784;1182784
NO_CID_SECUNDARIO_1;16965217;1049227;1049227;1049227
NO_CID_SECUNDARIO_2;16965217;7871;7871;7871
NO_CID_SECUNDARIO_3;16965217;1661;1661;1661
NO_CID_SECUNDARIO_4;16965217;242;242;242
NO_CID_SECUNDARIO_5;16965217;17;17;17
NO_CID_SECUNDARIO_6;16965217;0;0;0
NO_CID_SECUNDARIO_7;16965217;0;0;0
NO_CID_SECUNDARIO_8;16965217;0;0;0
NO_CID_SECUNDARIO_9;16965217;0;0;0
NO_FANTASIA;16965217;16965217;16965217;16965217
NO_MUNICIPIO;16965217;16965217;16965217;16965217
NO_PACIENTE_NOME;16965217;0;0;0
NO_PACIENTE_NOME_MAE;16965217;0;0;0
NO_PACIENTE_NOME_RESP;16965217;0;0;0
NO_RAZAO_SOCIAL;16965217;16965217;16965217;16965217
NU_AIH;16965217;16965217;16965217;16965217
NU_AIH_ANT;16965217;16965217;16965217;93752
NU_AIH_PROX;16965217;16965217;16965217;252974
NU_AUTORIZADOR_DOC;16965217;0;0;0
NU_CREDITO_DOC;16965217;0;0;0
NU_DIR_CLINICO_DOC;16965217;0;0;0
NU_ENFERMARIA;16965217;16965217;16965217;10335355
NU_EXEC_DOC;16965217;0;0;0
NU_GESTOR_DOC;16965217;16965217;16965217;3377402
NU_LEITO;16965217;16965217;16965217;10307213
NU_MED_RESP_DOC;16965217;0;0;0
NU_MED_SOL_DOC;16965217;0;0;0
NU_MUN_HOSP;16965217;16965217;16965217;16965217
NU_PACIENTE_LOGR_MUNICIPIO;16965217;16965217;16965217;16965163
NU_PACIENTE_LOGR_NUMERO;16965217;0;0;0
NU_PACIENTE_MUN_ORIGEM;16965217;0;0;0
NU_PACIENTE_NUMERO_CNS;16965217;0;0;0
NU_PACIENTE_NUMERO_DOC;16965217;0;0;0
NU_PF_DOC;16965217;0;0;0
NU_PJ_DOC;16965217;0;0;0
NU_PRONTUARIO;16965217;16965217;16965217;16965217
NU_SISPRENATAL;16965217;16965217;16965217;499939
NU_VERSAO_SISAIH01;16965217;16965217;16965217;16965217
PROCEDIMENTO_PRINCIPAL;16965217;16965217;16965217;16965217
QT_DIARIAS;16965217;16965217;16965217;16964553
QT_DIARIAS_UI;16965217;16965217;16965217;16965217
QT_DIARIAS_UTI;16965217;16965217;16965217;16965217
QT_PROCEDIMENTO;16965217;16965217;16965217;16965217
RACA;16965217;16965217;16965217;8764848
SG_UF;16965217;16965217;16965217;16965217
ST_MUDA_PROC;16965217;16965217;16965211;16965211
ST_SITUACAO;16965217;16964626;16964626;14822380
TP_IND_PRESTADOR;16965217;16965217;16965217;16965217
TP_IND_RATEIO;16965217;16965217;14822380;14822380
TP_IND_TIPO_VALOR;16965217;16965217;14822379;14822379
TP_PACIENTE_IDENT_DOC;16965217;16965217;16956870;6873952
TP_PACIENTE_TIPO_LOGR;16965217;16965217;16965217;16965217
TP_PF_IDENT;16965217;7079815;7079815;7079815
TP_PJ_IDENT;16965217;13460253;13460253;13460253
VL_PACIENTE_IDADE;16965217;16965217;16965217;16965217
VL_VALOR;16965217;16965217;16965217;16965217
